Essen, Ruhr;0201;7.01667;51.45;588084
Wuppertal;0202;7.18333;51.2667;361077
Duisburg;0203;6.75;51.4333;504403
Bottrop;02041;6.91667;51.5167;119910
Gladbeck;02043;6.98333;51.5667;77086
Velbert;02051;7.05;51.3333;87995
Heiligenhaus bei Velbert;02056;6.96667;51.3167;27789
Wülfrath;02058;7.05;51.2833;22382
Dinslaken;02064;6.73333;51.5667;70461
Mülheim an der Ruhr;0208;6.88333;51.4333;219309
Gelsenkirchen;0209;7.1;51.55;270107
Ratingen;02102;6.85;51.3;91887
Hilden;02103;6.93333;51.1667;56524
Mettmann;02104;6.977777777777;51.252777777777;39481
Düsseldorf;0211;6.76667;51.2167;572663
Solingen;0212;7.08333;51.1833;164205
Haan, Rheinland;02129;7;51.2;29370
Kaarst;02131;6.61667;51.2333;151875
Meerbusch;02132;6.66667;51.2833;54758
Dormagen;02133;6.841666666666;51.094444444444;63431
Leverkusen;0214;7.01667;51.05;161601
Krefeld;02151;6.56833333333333;51.3333;238270
Kempen, Niederrhein;02152;6.41667;51.3667;36358
Nettetal;02153;6.28333;51.3167;42425
Willich;02154;6.55;51.2667;51840
Grefrath, Niederrhein;02158;6.34167;51.3389;16076
Mönchengladbach;02161;6.43333;51.2;261966
Viersen;02162;6.38333;51.25;76485
Brüggen, Niederrhein;02163;6.18333;51.25;19397
Jüchen;02165;6.5;51.1;22642
Langenfeld (Rheinland);02173;6.95;51.1;59007
Burscheid, Rheinland;02174;7.11667;51.1;19382
Leichlingen (Rheinland);02175;7.01667;51.1167;27524
Grevenbroich;02181;6.58333;51.0833;64886
Rommerskirchen;02183;6.68333;51.0333;12482
Remscheid;02191;7.2;51.1833;116827
Hückeswagen;02192;7.35;51.15;16518
Radevormwald;02195;7.35;51.2;24204
Wermelskirchen;02196;7.21667;51.15;36765
Bergisch Gladbach;02202;7.13333;50.9833;105896
Rösrath;02205;7.2;50.9;27095
Overath, Bergisches Land;02206;7.3;50.95;27022
Niederkassel, Rhein;02208;7.03333;50.8167;36407
Köln;0221;6.95;50.9333;969709
Bornheim, Rheinland;02222;7;50.7667;48254
Königswinter;02223;7.18333;50.6833;41037
Bad Honnef;02224;7.23333;50.6333;25349
Meckenheim, Rheinland;02225;7.01667;50.6333;25400
Rheinbach;02226;6.95;50.6333;26273
Brühl, Rheinland;02232;6.9;50.8333;44010
Hürth, Rheinland;02233;6.86667;50.8667;55001
Frechen;02234;6.81667;50.9167;48654
Erftstadt;02235;6.76667;50.8167;51201
Wesseling, Rheinland;02236;6.98333;50.8333;35859
Kerpen, Rheinland;02237;6.7;50.8667;64095
Pulheim;02238;6.8;51;53884
Sankt Augustin;02241;7.18333;50.7667;74489
Hennef (Sieg);02242;7.28333;50.7833;45211
Eitorf;02243;7.45;50.7667;19852
Much;02245;7.4;50.9167;15013
Lohmar, Rheinland;02246;7.21667;50.8333;31175
Neunkirchen-Seelscheid;02247;7.325;50.8667;21020
Euskirchen;02251;6.78333;50.6667;54793
Zülpich;02252;6.65;50.7;20155
Bad Münstereifel;02253;6.76667;50.55;18760
Weilerswist;02254;6.83333;50.7667;16389
Bergneustadt;02261;7.65;51.0333;53183
Wiehl;02262;7.53333;50.95;26604
Engelskirchen;02263;7.4;50.9833;20697
Marienheide;02264;7.53333;51.0833;13514
Lindlar;02266;7.38333;51.0167;22714
Wipperfürth;02267;7.4;51.1167;23695
Kürten;02268;7.26667;51.05;20116
Bergheim, Erft;02271;6.65;50.9667;63509
Bedburg, Erft;02272;6.58333;51;24861
Elsdorf, Niedersachsen;02274;9.35;53.2333;21633
Bonn;0228;7.1;50.7333;311938
Waldbröl;02291;7.61667;50.8833;19625
Windeck, Sieg;02292;7.57432;50.7973;21164
Nümbrecht;02293;7.55;50.9;17158
Morsbach, Sieg;02294;7.71667;50.8667;11619
Ruppichteroth;02295;7.48333;50.85;10426
Reichshof;02296;7.7;50.95;20232
Holzwickede;02301;7.63333;51.5;17777
Witten;02302;7.33333;51.4333;101181
Unna;02303;7.68333;51.5333;68932
Schwerte;02304;7.56667;51.45;50175
Castrop-Rauxel;02305;7.31667;51.55;77911
Lünen;02306;7.51667;51.6167;90800
Bergkamen;02307;7.63333;51.6333;52517
Waltrop;02309;7.4;51.6333;30209
Dortmund;0231;7.468333333332;51.516111111111;588680
Herne, Westfalen;02323;7.21667;51.55;171831
Hattingen an der Ruhr;02324;7.16667;51.4;57309
Herdecke an der Ruhr;02330;7.43333;51.4;25807
Hagen (Westfalen);02331;7.46667;51.35;198780
Gevelsberg;02332;7.33333;51.3167;32857
Ennepetal;02333;7.35;51.3;32679
Wetter an der Ruhr;02335;7.4;51.3833;29221
Schwelm;02336;7.28333;51.2833;30103
Breckerfeld;02338;7.46667;51.2667;9229
Sprockhövel;02339;7.25;51.35;26324
Bochum;0234;7.21667;51.4833;388179
Lüdenscheid;02351;7.61667;51.2167;79379
Altena, Westfalen;02352;7.66667;51.3;20805
Halver;02353;7.48333;51.2;17629
Meinerzhagen;02354;7.65;51.1167;21925
Schalksmühle;02355;7.53333;51.2333;11944
Herscheid, Westfalen;02357;7.75;51.1833;7672
Kierspe;02359;7.58333;51.1333;18277
Recklinghausen, Westfalen;02361;7.2;51.6167;122627
Dorsten;02362;6.96667;51.6667;80116
Datteln;02363;7.35;51.65;36652
Haltern am See;02364;7.18333;51.7333;37806
Marl, Westfalen;02365;7.08333;51.65;91297
Herten, Westfalen;02366;7.13333;51.6;65265
Oer-Erkenschwick;02368;7.25;51.6333;30341
Iserlohn;02371;7.7;51.3667;97728
Hemer;02372;7.76667;51.3833;37689
Menden (Sauerland);02373;7.8;51.4333;58342
Balve;02375;7.86667;51.3333;12230
Wickede an der Ruhr;02377;7.86667;51.4833;12658
Hamm (Westfalen);02381;7.8;51.6833;184926
Ahlen, Westfalen;02382;7.9;51.7667;55322
Bönen;02383;7.76667;51.6;19200
Welver;02384;7.96667;51.6167;12848
Werne;02389;7.63333;51.6667;30747
Plettenberg;02391;7.88333;51.2167;28255
Neuenrade;02392;7.78333;51.2833;20434
Baesweiler;02401;6.18333;50.9;27933
Stolberg (Rheinland);02402;6.23333;50.7667;58781
Eschweiler, Rheinland;02403;6.28333;50.8167;55697
Alsdorf, Rheinland;02404;6.16667;50.8833;46462
Würselen;02405;6.13333;50.8167;37130
Herzogenrath;02406;6.1;50.8667;47254
Aachen;0241;6.1;50.7667;257821
Düren, Rheinland;02421;6.48333;50.8;93486
Kreuzau;02422;6.48333;50.75;18374
Langerwehe;02423;6.35;50.8167;13993
Vettweiß;02424;6.6;50.7333;8846
Nörvenich;02426;6.65;50.8;11596
Nideggen;02427;6.48333;50.7;10787
Niederzier;02428;6.46667;50.8833;14362
Hürtgenwald;02429;6.36667;50.7167;8938
Erkelenz;02431;6.31667;51.0833;44520
Wassenberg;02432;6.15;51.1;16224
Hückelhoven;02433;6.21667;51.05;39607
Wegberg;02434;6.26667;51.15;29492
Kall;02441;6.55;50.55;11925
Mechernich;02443;6.65;50.6;27234
Schleiden, Eifel;02445;6.46667;50.5333;13948
Heimbach, Eifel;02446;6.48333;50.6333;4685
Dahlem bei Kall;02447;6.55;50.3833;4303
Blankenheim, Ahr;02449;6.65;50.4333;8794
Geilenkirchen;02451;6.11667;50.9667;28436
Heinsberg, Rheinland;02452;6.08333;51.0667;41583
Gangelt;02454;6;50.9833;11410
Waldfeucht;02455;5.98333;51.0667;9363
Selfkant;02456;5.91667;51.0167;9816
Jülich;02461;6.36667;50.9333;33948
Linnich;02462;6.26667;50.9833;13920
Titz;02463;6.41667;51;8482
Aldenhoven bei Jülich;02464;6.28333;50.9;14129
Inden bei Jülich;02465;6.36667;50.8667;7542
Roetgen, Eifel;02471;6.2;50.65;8178
Monschau;02472;6.25;50.55;13050
Simmerath;02473;6.3;50.6;15602
Hellenthal, Eifel;02482;6.43333;50.4833;8696
Nettersheim;02486;6.63333;50.5;7906
Nottuln;02502;7.35;51.9333;20358
Telgte;02504;7.78333;51.9833;19489
Altenberge, Westfalen;02505;7.46667;52.05;9704
Havixbeck;02507;7.41667;51.9833;11945
Drensteinfurt;02508;7.75;51.8;14823
Münster, Westfalen;0251;7.63333;51.9667;270038
Beckum, Westfalen;02521;8.03333;51.75;37678
Oelde, Westfalen;02522;8.15;51.8167;29317
Wadersloh;02523;8.25;51.7333;13148
Ennigerloh;02524;8.01667;51.8333;20671
Sendenhorst;02526;7.83333;51.8333;13222
Ostbevern;02532;7.85;52.05;10195
Coesfeld;02541;7.15;51.9333;36729
Gescher;02542;7.01667;51.95;16924
Billerbeck, Westfalen;02543;7.3;51.9667;11406
Rosendahl, Westfalen;02547;7.21667;52.0167;11006
Steinfurt, Westfalen;02551;7.35;52.15;34555
Ochtrup;02553;7.18333;52.2167;19370
Laer, Kreis Steinfurt;02554;7.35;52.0667;6317
Schöppingen;02555;7.23333;52.1;8119
Metelen;02556;7.2;52.15;6364
Wettringen, Kreis Steinfurt;02557;7.31667;52.2;7781
Horstmar, Westfalen;02558;7.31667;52.0833;6754
Ahaus;02561;7;52.0667;38262
Gronau (Westfalen);02562;7.03333;52.2;46150
Stadtlohn;02563;6.93333;51.9833;20595
Vreden;02564;6.83333;52.0333;22387
Legden;02566;7.1;52.0333;6786
Heek;02568;7.1;52.1167;8035
Greven, Westfalen;02571;7.61667;52.1;35246
